Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,15.677940,16.178949,15.445765,15.629061,4.204340,86071219
2000-01-05,15.445765,16.679960,15.445765,16.679960,4.487039,130170524
2000-01-06,17.278728,17.596441,16.820486,17.003782,4.574150,143026923808
2000-01-07,16.954905,17.138201,16.362247,17.095432,4.598804,57500325661
2000-01-10,17.413145,17.822508,17.095432,17.095432,4.598804,101615246349
2000-01-11,17.229849,17.504793,15.904006,16.087301,4.327608,81917784933
2000-01-12,16.221720,16.679960,15.995654,16.545544,4.450881,51799329117
2000-01-13,16.545544,17.455914,16.545544,16.912134,4.549495,110996993
2000-01-14,17.278728,17.504793,16.221720,16.728840,4.500188,78382989593
2000-01-17,16.912134,17.596441,16.820486,17.278728,4.648112,95123258258
2000-01-18,17.547562,17.871386,17.278728,17.688089,4.758232,97001424140
2000-01-19,17.822508,18.097450,16.912134,16.912134,4.549495,92990154291
2000-01-20,16.728840,17.003782,16.496664,16.771608,4.511693,28759819328
2000-01-21,16.912134,17.321497,16.863256,17.229849,4.634964,50866429608
2000-01-24,17.504793,17.596441,16.954905,17.138201,4.610309,37186269045
2000-01-25,17.003782,17.822508,17.003782,17.822508,4.794393,92604195536
2000-01-26,18.054682,18.054682,17.413145,17.504793,4.708925,55697030
2000-01-27,17.504793,17.730860,17.046553,17.187080,4.623458,28683518
2000-01-28,17.364265,17.364265,16.771608,16.912134,4.549495,22748746097
2000-01-31,16.679960,16.863256,16.496664,16.588312,4.462385,26777315807
2000-02-01,16.820486,16.820486,16.545544,16.728840,4.500188,29217710807
2000-02-02,null,null,null,null,null,null
2000-02-03,null,null,null,null,null,null
2000-02-04,null,null,null,null,null,null
2000-02-07,null,null,null,null,null,null
2000-02-08,null,null,null,null,null,null
2000-02-09,17.138201,17.138201,16.863256,16.912134,4.549495,20341183
2000-02-10,16.954905,17.138201,16.588312,16.679960,4.487039,20813600
2000-02-11,16.637192,17.321497,16.637192,17.046553,4.585654,51238838
2000-02-14,17.138201,17.596441,17.095432,17.229849,4.634964,78212917392
2000-02-15,17.364265,17.596441,17.003782,17.138201,4.610309,48791356282
2000-02-16,17.229849,17.504793,17.046553,17.321497,4.659617,50433052540
2000-02-17,17.596441,18.512922,17.596441,18.512922,4.980120,119149514806
2000-02-18,19.789886,19.789886,19.789886,19.789886,5.323633,47437945
2000-02-21,22.624868,22.624868,22.624868,22.624868,6.086265,8766148
2000-02-22,23.993481,23.993481,23.535240,23.993481,6.454432,289756535
2000-02-23,25.368202,25.594269,24.225657,25.594269,6.885056,256654655
2000-02-24,27.195057,27.195057,26.736814,27.195057,7.315680,95295582550
2000-02-25,27.653297,27.879362,25.594269,25.820333,6.945868,230369467257
2000-02-28,null,null,null,null,null,null
2000-02-29,25.820333,26.736814,24.677788,26.278576,7.069139,113740802443
2000-03-01,27.421122,27.421122,25.820333,26.052509,7.008328,60554829721
2000-03-02,26.510750,27.653297,26.510750,27.653297,7.438953,56767336
2000-03-03,28.563667,29.480150,28.105429,28.105429,7.560578,157080918492
2000-03-06,26.736814,27.879362,26.052509,27.879362,7.499766,56281322
2000-03-07,28.105429,28.337603,26.962881,26.962881,7.253225,46292559112
2000-03-08,26.962881,28.105429,26.962881,27.421122,7.376494,58323406241
2000-03-09,27.879362,28.337603,27.421122,27.879362,7.499766,50634320138
2000-03-10,28.337603,29.706215,28.337603,29.706215,7.991203,140259142440
2000-03-13,29.247974,29.247974,27.653297,27.653297,7.438953,37063371
2000-03-14,25.820333,26.962881,25.820333,25.820333,6.945868,71111875990
2000-03-15,24.677788,25.820333,24.225657,24.225657,6.516890,46040688193
2000-03-16,22.850933,23.535240,22.533220,23.083111,6.209536,46797942
2000-03-17,22.850933,23.309175,22.392694,22.624868,6.086265,31951277
2000-03-20,21.848915,21.848915,21.848915,21.848915,5.877529,344370347
2000-03-21,21.115730,23.309175,21.115730,23.309175,6.270349,32121151236
2000-03-22,24.909964,24.909964,24.909964,24.909964,6.700974,20815493
2000-03-23,26.510750,26.510750,26.510750,26.510750,7.131597,11398646
2000-03-24,28.337603,28.337603,28.105429,28.337603,7.623033,89281888972
2000-03-27,28.337603,30.164455,27.653297,30.164455,8.114471,154259348796
2000-03-28,30.622696,32.223484,29.706215,31.991308,8.605910,138323718437
2000-03-29,31.080936,31.991308,30.848763,31.080936,8.361013,68175159
2000-03-30,31.533068,32.449551,30.164455,30.848763,8.298555,78630177
2000-03-31,30.390520,30.848763,29.706215,29.938391,8.053660,42602984845
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,32.675613,34.050339,32.675613,34.050339,9.159804,96123880
2000-04-06,35.877190,36.103256,34.276402,34.734642,9.343888,121593813
2000-04-07,35.651123,36.103256,34.508575,35.418949,9.527970,73289795
2000-04-10,38.846588,40.221310,37.477978,37.704041,10.142679,118805795863
2000-04-11,38.388348,40.221310,37.936218,39.530895,10.634117,136412177081
2000-04-12,38.846588,38.846588,36.793671,37.245804,10.019412,62919044
2000-04-13,35.192883,37.019737,34.734642,37.019737,9.958598,55150299
2000-04-14,36.335430,37.704041,34.508575,34.508575,9.283074,55089978736
2000-04-17,33.133854,33.366032,31.080936,32.907791,8.852451,49755847269
2000-04-18,34.734642,35.192883,33.818161,35.192883,9.467159,39369157
2000-04-19,36.103256,37.245804,35.192883,35.877190,9.651242,94120494
2000-04-20,35.877190,36.103256,33.592094,34.734642,9.343888,36431337152
2000-04-21,34.960709,36.561497,34.960709,35.651123,9.590429,40184343152
2000-04-24,35.877190,35.877190,33.366032,33.366032,8.975721,29903001349
2000-04-25,31.307001,32.223484,31.080936,31.765244,8.545097,53017298257
2000-04-26,31.991308,32.223484,29.706215,29.706215,7.991203,28047811385
2000-04-27,29.706215,31.080936,28.337603,29.706215,7.991203,34461598212
